item,buque,producto,jornada,turno,ticket_apm,permiso,bl,bodega,balanza_ingreso,fecha_ingreso_apm,fecha_inicio_carguio,fecha_termino_carguio,duracion_carguio,estadia_muelle_antes_carguio,balanza_salida,guia_remision_agencia,placa_camion,empresa_transporte,num_precinto,peso_bruto_puerto,tara_puerto,peso_neto_salida_apm,peso_apm_tn,destino_almacen,fecha_salida_apmtc,tiempo_termino_carguio_salida,tiempo_llegada_salida_apm,fecha_ingreso_almacen,peso_bruto_almacen,tara_almacen,peso_neto_ingreso_almacen,diferencia_pesos_netos,fecha_salida_almacen,tiempo_llegada_almacen_desde_puerto,permanencia_almacen,duracion_total_traslado,observaciones,guia_transporte
1,AFRICAN ROADRUNNER,MAIZ AMARILLO ARGENTINO,JORNADA 1,15-23,202412240024,-,2,BODEGA 3,-,2024-12-24 14:10:00,2024-12-24 15:22:00,2024-12-24 15:29:00,00:07:00,01:12:00,-,240024,AWS916,TOSA E.I.R.L.,128601,33060,17760,15300,15.3,CHANCAY - 5003,2024-12-24 17:46:00,02:17:00,03:36:00,2024-12-24 19:23:00,33000,17700,15300,0,2024-12-24 19:41:00,01:37:00,00:18:00,05:31:00,,0
2,AFRICAN ROADRUNNER,MAIZ AMARILLO ARGENTINO,JORNADA 1,15-23,202412240021,-,2,BODEGA 3,-,2024-12-24 13:47:00,2024-12-24 15:30:00,2024-12-24 15:37:00,00:07:00,01:43:00,-,240021,AFX858,TOSA E.I.R.L.,128600,30660,17000,13660,13.66,CHANCAY - 5003,2024-12-24 17:45:00,02:08:00,03:58:00,2024-12-24 19:11:00,30570,16910,13660,0,2024-12-24 19:28:00,01:26:00,00:17:00,05:41:00,0,0
3,AFRICAN ROADRUNNER,MAIZ AMARILLO ARGENTINO,JORNADA 1,15-23,202412240023,-,2,BODEGA 3,-,2024-12-24 13:48:00,2024-12-24 15:38:00,2024-12-24 15:45:00,00:07:00,01:50:00,-,240023,ASA876,TOSA E.I.R.L.,128602,45080,17340,27740,27.74,CHANCAY - 5003,2024-12-24 18:01:00,02:16:00,04:13:00,2024-12-24 19:39:00,45030,17280,27750,10,2024-12-24 19:55:00,01:38:00,00:16:00,06:07:00,0,0
4,AFRICAN ROADRUNNER,MAIZ AMARILLO ARGENTINO,JORNADA 1,15-23,202412240033,-,2,BODEGA 3,-,2024-12-24 13:52:00,2024-12-24 15:46:00,2024-12-24 15:53:00,00:07:00,01:54:00,-,240033,ABY907,TOSA E.I.R.L.,128603,41940,16920,25020,25.02,CHANCAY - 5003,2024-12-24 18:15:00,02:22:00,04:23:00,2024-12-24 19:43:00,41890,16830,25060,40,2024-12-24 20:07:00,01:28:00,00:24:00,06:15:00,0,0
5,AFRICAN ROADRUNNER,MAIZ AMARILLO ARGENTINO,JORNADA 1,15-23,202412240036,-,2,BODEGA 1,-,2024-12-24 14:21:00,2024-12-24 15:50:00,2024-12-24 15:57:00,00:07:00,01:29:00,-,240036,APP823,TRANSJIBAJA S.A.C.,128608,48380,17540,30840,30.84,CHANCAY - 5003,2024-12-24 18:27:00,02:30:00,04:06:00,2024-12-24 20:09:00,48320,17470,30850,10,2024-12-24 20:36:00,01:42:00,00:27:00,06:15:00,0,0
6,AFRICAN ROADRUNNER,MAIZ AMARILLO ARGENTINO,JORNADA 1,15-23,202412240026,-,2,BODEGA 3,-,2024-12-24 13:47:00,2024-12-24 15:54:00,2024-12-24 16:01:00,00:07:00,02:07:00,-,240026,AUL936,TOSA E.I.R.L.,128604,43860,17080,26780,26.78,CHANCAY - 5003,2024-12-24 18:18:00,02:17:00,04:31:00,2024-12-24 19:47:00,43790,17020,26770,-10,2024-12-24 20:10:00,01:29:00,00:23:00,06:23:00,0,0
7,AFRICAN ROADRUNNER,MAIZ AMARILLO ARGENTINO,JORNADA 1,15-23,202412240028,-,2,BODEGA 1,-,2024-12-24 14:12:00,2024-12-24 16:01:00,2024-12-24 16:10:00,00:09:00,01:49:00,-,240028,D7X754,TOSA E.I.R.L.,128605,45140,17280,27860,27.86,CHANCAY - 5003,2024-12-24 18:19:00,02:09:00,04:07:00,2024-12-24 19:55:00,45070,17210,27860,0,2024-12-24 20:14:00,01:36:00,00:19:00,06:02:00,0,0
8,AFRICAN ROADRUNNER,MAIZ AMARILLO ARGENTINO,JORNADA 1,15-23,202412240035,-,2,BODEGA 3,-,2024-12-24 13:51:00,2024-12-24 16:04:00,2024-12-24 16:11:00,00:07:00,02:13:00,-,240035,C7Y834,TRANSJIBAJA S.A.C.,128609,47360,17300,30060,30.06,CHANCAY - 5003,2024-12-24 18:27:00,02:16:00,04:36:00,2024-12-24 20:13:00,47280,17220,30060,0,2024-12-24 20:42:00,01:46:00,00:29:00,06:51:00,0,0
9,AFRICAN ROADRUNNER,MAIZ AMARILLO ARGENTINO,JORNADA 1,15-23,202412240034,-,2,BODEGA 3,-,2024-12-24 14:14:00,2024-12-24 16:11:00,2024-12-24 16:18:00,00:07:00,01:57:00,-,240034,ASZ864,TRANSJIBAJA S.A.C.,128607,52560,17180,35380,35.38,CHANCAY - 5003,2024-12-24 18:26:00,02:08:00,04:12:00,2024-12-24 20:01:00,52490,17120,35370,-10,2024-12-24 20:28:00,01:35:00,00:27:00,06:14:00,0,0
10,AFRICAN ROADRUNNER,MAIZ AMARILLO ARGENTINO,JORNADA 1,15-23,202412240027,-,2,BODEGA 1,-,2024-12-24 13:50:00,2024-12-24 16:11:00,2024-12-24 16:18:00,00:07:00,02:21:00,-,240027,C9H901,TOSA E.I.R.L.,128606,48440,16360,32080,32.08,CHANCAY - 5003,2024-12-24 18:21:00,02:03:00,04:31:00,2024-12-24 19:58:00,48370,16290,32080,0,2024-12-24 20:23:00,01:37:00,00:25:00,06:33:00,0,0
