Unnamed: 0,Puerto elegido,Naves Descargadas 2026,Tonelaje ( TN ),producto,GASTO PRESUPUESTADO,Gasto x TN,Gasto x Nave,PRESUPUESTO - REAL,18.5
,CALLAO,MN CAPRICORN CONFIDENCE,19500,torta de soya,1262625,56.6921195367609,1103787.630484,158837.36951599992,
,CHANCAY,MN DIAMOND SKY,53538.89,maiz,3466643.1275,52.4605745662042,2807568.766856,659074.3606440001,
,CHANCAY,MN LEO OCEAN,8100,grano de soya,524475,58.855904561738924,475307.33694159996,49167.66305840004,
,CALLAO,MN QUEST,32348,maiz + torta de soya ,2094533,62.11210238214252,2013020.9399120002,81512.0600879998,
,CALLAO,MN GRANDE ISLAND,8000,torta de soya,518000,56.245658646105,446427.41724000004,71572.58275999996,
,CALLAO,MN STELLAR RIONI,34097.59,maiz ,2207818.9524999997,62.872106069637596,2141156.09756,66662.85493999952,
,CALLAO,MN BUNUN FORTUNE,12552.418,grano de soya,812769.0655,58.0137191740319,727938.7440800001,84830.32141999993,
,CHANCAY,MN LILA NOLA,9546,torta de soya,618103.5,46.50828157281774,443266.7110080001,174836.78899199993,
,CHANCAY,MN TAC SUZUKA,34099.07,maiz,2207914.7825,47.562566090805404,1621839.27051,586075.5119900003,
,CALLAO,MN EPTALOFOS,34100,maiz,2207975,61.342999999999996,2091796.2999999998,116178.70000000019,
,CALLAO,MN SUNSET,10800,grano de soya,699300,62.06922962962963,670347.6799999999,28952.320000000065,
,CALLAO,MN ROSSANA,13877.245,torta de soya,898551.61375,62.01765216561356,860634.153427,37917.46032299998,
,CALLAO,MN LUCKY LUKE,18700,torta de soya,1210825,62.01765216561356,1159730.0954969737,51094.90450302628,
,CHANCAY,MN KING ISLAND,30600,maiz,1981350,47.376666666666665,1449726,531624,
,CALLAO,MN ARCADIA,38757.82,maiz,2509568.845,63.712484345094744,2469357,40211.845000000205,
,CHANCAY,MN GEORGIA,34820.955,maiz + torta de soya ,2254656.8362499997,60.211731700063936,2096630,158026.8362499997,
,CALLAO,MN SHARP ISLAND,7022,grano de soya,454674.5,62.73967530618057,440558,14116.5,
,CALLAO,MN AGHIA DYNAMI,34140.74,maiz,2210612.915,65.05286645807912,2220953,-10340.084999999963,
