Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
,   ,,Sobrecosto Flete Terrestre (Chancay a Lurín),Ahorro Flete Terrestre (Chancay a PAB Chancay),Ahorro Demurrage,Resultado Neto,,
1.0,Top Grace,,97232.85333333333,-197797.86666666667,-275349.31,-375914.32333333336,,
2.0,Trammo Baumann,,69244.84516477579,-128859.4003241491,-418396.37,-478010.9251593733,,
3.0,Radiant Reb,,91304.58367236237,-111134.29882017903,-250000,-269829.7151478167,,
4.0,Dioni.Gr,,17455.75221238938,-23235.619469026547,-260000,-265779.8672566372,,
5.0,Lolita,,78679.77191946309,-127721.47651006712,-146197.79,-195239.49459060404,,
6.0,Friederike,,89053.48562037798,-130129.14270062998,-42415.82,-83491.47708025199,,
,Naves,Puerto Descargado,Gasto Transporte (Puerto Callao - Plantas SF),Gasto Transporte (Puerto Chancay - Plantas SF),Ahorro Logistico 2025,Gasto Descarga (Puerto Callao),Gasto Descarga (Puerto Chancay),Gasto de Descarga
,ABYSSINIAN,Chancay,264169.45798680815,191706.26613134498,72463.19185546317,352150.1363349584,345504.1363349585,6645.999999999942
,IWAGI,Callao,234984.74504249293,334572.9815864023,99588.23654390936,348683.00594900845,342102.00594900845,-6581
,IONIAN,Chancay,295597.7337110482,103546.17563739377,192051.55807365442,373002.33427762036,365962.33427762036,7040
,AMANI,Chancay,286459.55056179775,245232.8651685393,41226.685393258434,396297.1235955056,388817.1235955056,7480
,ORIENT TIDE,Chancay,271404.7881854155,75109.51399095535,196295.27419446013,339640.16304420575,333229.75904420577,6410.40399999998
,BUNUN UNICORN,Callao,244086.59501980763,340012.69100169785,95926.09598189022,361315.5316578382,354496.0656578382,-6819.466000000015
,DIONI. GR,Chancay,247984.42831916647,196145.0945983,51839.333720866474,320158.000690935,343274.48429093504,-23116.483600000036
,SAKURA,Callao,255641.09589041097,289198.6301369863,33557.53424657535,339335.84070796455,363835.8407079646,24500.00000000006
,FRIEDERIKE,Chancay,281358.6617365105,240283.00465625856,41075.657080251956,360191.59744344023,386198.80244344025,-26007.205000000016
,LOLITA,Chancay,266197.5972080537,217155.8926174497,49041.704590604,347322.6319033558,372403.46390335576,-25080.831999999937
,RADIANT REB,Chancay,257620.24407377274,237790.52892595608,19829.715147816663,339691.0824825603,364219.42548256036,-24528.34300000005
,TRAMMO BAUMANN,Chancay,256968.0532685035,197353.49810913022,59614.555159373296,336188.81331000006,360467.38230999996,-24278.5689999999
,TOP GRACE,Chancay,346802.88,273258.13333333336,73544.74666666664,458769.69000000006,491900.69000000006,-33131
,AFRICAN ROADRUNNER,Chancay,251555.37882666668,128147.04749333333,123408.33133333335,303985.60132904537,303305.48256000003,680.1187690453371
,TOTAL AHORRO - $,,,,1149462.6199881234,,,-116786.37583095464
