MN 2024,Mes,Producto,TN,LAYTIME,CARGO EN $,CONCEPTO,TN.1,$,$/ TN,Unnamed: 12
MV STRATEGIC TENACITY,Ene,Maiz,32280,DEMURRAGE,46120.83,DEMURRAGE,482018.86000000004,1362808.78,2.827293479761352,21.0
MV MILTIADES II,Ene,Torta,12000,DESPATCH,5538.89,DESPATCH,250255.44499999998,114045.92,0.45571803642474196,10.0
MV BBC URANUS,Feb,Maiz,36240,DESPATCH,31645.83,ACUMULADO,732274.305,1248762.86,1.7053211501119105,
MV NORSE NEW HAVEN,Feb,Torta,4400,DEMURRAGE,21837.89,,,,,
MV MH COLUMBIA,Mar,Maiz,41810,DESPATCH,7959.38,,,,,
MV ULTRA FOREST,Mar,Frejol,5389.74,DESPATCH,451.04,,,,,
MV FEDERAL SPEY,Mar,Maiz,15810,DEMURRAGE,30037.51,,,,,
MV PACIFIC ETERNITY,Abr,Maiz,42990,DEMURRAGE,33043.93,,,,,
MV DAIWAN ELEGANCE,Abr,Frejol,5000,DESPATCH,2953.91,,,,,
MV AFRICAN HORBNILL,Abr,Frejol,8100,DEMURRAGE,26375.46,,,,,
MV COREFORTUNE OL,May,Torta,13198.85,DEMURRAGE,5520.43,,,,,
MV JOSCO GUANGZHOU,Abr,Maiz,30000,DEMURRAGE,45803.67,,,,,
MV UNION TAYLOR,May,Torta,10000,DEMURRAGE,39857.26,,,,,
MV IONIC SPIRIT,May,Maiz,39820,DESPATCH,10937.93,,,,,
MV SPL ATACAMA,Jun,Maiz,32200,DEMURRAGE,21951.04,,,,,
MV YASA TOKYO,Jun,Torta,14000,DESPATCH,8507.1,,,,,
MV YANGTZE GRACE,Ago,Maiz,29887.03,DESPATCH,21388.89,,,,,
MV FRANBO ACE,Ago,Maiz,34840.995,DESPATCH,19073.93,,,,,
MV CETUS OMURA,Jul,Maiz,33990,DEMURRAGE,171516.36,,,,,
MV ES INTEGRITY,Ago,Maiz,31267.68,DESPATCH,5589.02,,,,,
MV NAVA ULYSSES,Jul,Maiz,29888.54,DEMURRAGE,16471.64,,,,,
MV BULK HONDURAS,Set,Maiz,25754,DEMURRAGE,182949.82,,,,,
MV ANDREA ENTERPRISE,Set,Maiz,30492.975,DEMURRAGE,148072.95,,,,,
MV STRATEGIC ENTITY,Oct,Torta,10996.94,DEMURRAGE,65297.36,,,,,
MV ULTRA LANIN,Oct,Maiz,33000,DEMURRAGE,45555.56,,,,,
MV IMABARI LOGGER,Oct,Maiz,29417.97,DEMURRAGE,133213.14,,,,,
MV PRIME STAR,Oct,Frejol,8000,DEMURRAGE,16608.05,,,,,
MV RABEA,Nov,Maiz,31411,DEMURRAGE,60181.18,,,,,
MV NORVIC SINGAPORE,Dic,Maiz,33000,DEMURRAGE,56495.83,,,,,
MV INTERLINK PRIORITY,Dic,Torta,12088.585,DEMURRAGE,11633.78,,,,,
MV IONA ISLAND,Dic,Torta,15000,DEMURRAGE,184265.09,,,,,
,,,32986.51,,,,,,,
,,,12088.585,11633.780368397565,,,,,,
,,,31745.47,,,,,,,
,,,"$31.745,47",,,,,,,
