MN 2025,Mes,Producto,TN,LAYTIME,CARGO EN $,Unnamed: 7,TN.1,$,$/ TN,Producto.1,Maiz
MV AFRICAN ROADRUNNER,Ene,Maiz,32986.68,DESPATCH,49041.26744446345,DEMURRAGE,257366.75699999998,1071714.2475786682,4.164151812266369,LAYTIME,DESPATCH
MV TOP GRACE,Ene,Maiz,47330.0,DESPATCH,28949.305555588704,DESPATCH,443326.85300000006,350270.9511802462,0.7900964013570505,,
MV BBC CERES,Ene,Frejol,9000.0,DEMURRAGE,56223.8,ACUMULADO,700693.6100000001,721443.296398422,1.0296130663991954,Mes,Suma de CARGO EN $
MV STAR MONICA,Feb,Torta,15215.029999999999,DEMURRAGE,187290.12121746762,,,,,Ene,77990.57300005216
MV UNITY EXPLORER,Mar,Torta,5500.0,DEMURRAGE,58824.40077064659,,,,,Feb,18447.380000101864
MV TRAMMO BAUMANN,Feb,Maiz,34683.67,DESPATCH,18447.380000101864,,,,,Mar,15466.061825379926
MV RADIANT REB,Mar,Maiz,35040.49,DESPATCH,15466.061825379926,,,,,Abr,77335.51000000001
MV TOXOTIS,Mar,Torta,11000.0,DEMURRAGE,55928.46531818746,,,,,May,22805.3
MV SPAR CASTOR,Mar,Frejol,7000.0,DESPATCH,7023.86,,,,,Jul,5568.958068463354
MV DIONI . GR,Abr,Maiz,33023.548,DESPATCH,29868.58,,,,,Ago,65267.3363095323
MV CL MAOMING,Abr,Torta,16438.11,DEMURRAGE,77430.54967554705,,,,,Set,38779.64285714286
MV LOLITA,Abr,Maiz,35829.76,DESPATCH,47466.93,,,,,Total general,321660.76206067245
MV PEWEE,May,Torta,16218.375,DEMURRAGE,73437.79,,,,,,
MV EQUITY,May,Frejol,10570.722,DEMURRAGE,3724.6949093928115,,,,,,
MV FRIEDERIKE,May,Maiz,37153.15,DESPATCH,22805.3,,,,,,
MV SAKURA HARMONY,Jun,Maiz,35200.0,DEMURRAGE,23159.722222118104,,,,,,
MV HANDY MERCHANT,May,Torta,16500.0,DEMURRAGE,17514.71,,,,,,
MV BUNUN UNICORN,Jul,Maiz,34097.33,DEMURRAGE,81937.5,,,,,,
MV HONEY ISLAND,Jun,Frejol,10000.0,DEMURRAGE,20970.185972884425,,,,,,
MV ORIENT TIDE,Jul,Maiz,32052.02,DESPATCH,5568.958068463354,,,,,,
MV VIENNA WOOD,Jun,Torta,16300.89,DESPATCH,14525.079914330388,,,,,,
MV KACEY,Jul,Torta,17000.68,DEMURRAGE,154929.4511111609,,,,,,
MV AMANI,Ago,Maiz,37400.0,DESPATCH,53550.00000005821,,,,,,
MV DULCE DIVA,Ago,Frejol,7400.0,DESPATCH,3427.9659573923063,,,,,,
MV IONIAN SPIRIT,Ago,Maiz,35200.0,DESPATCH,11717.336309474089,,,,,,
MV ATLANTIC OASIS,Set,Frejol,10000.0,DEMURRAGE,29048.17,,,,,,
MV SEA BLISS,Ago,Torta,17721.51,DEMURRAGE,77947.46415906126,,,,,,
MV IWAGI ISLAND,Set,Maiz,32905.0,DEMURRAGE,153347.22222220202,,,,,,
MV GENCO MAGIC,Set,Torta,18696.644999999997,DESPATCH,3633.2832478510973,,,,,,
MV ABYSSINIAN,Set,Maiz,33230.0,DESPATCH,38779.64285714286,,,,,,
